K-mer,# of Reads,Run-Time(s)
3,10,0.011968851089477539
4,10,0.028924226760864258
5,10,0.14960837364196777
6,10,0.39578866958618164
7,10,0.5936832427978516
8,10,0.675818681716919
9,10,0.7206895351409912
10,10,0.7706499099731445
11,10,0.7695841789245605
12,10,0.7777915000915527
13,10,0.761573314666748
14,10,0.758936882019043
15,10,0.8013978004455566
16,10,0.7755897045135498
17,10,0.7703242301940918
18,10,0.7783839702606201
19,10,0.7647697925567627
20,10,0.7563588619232178
